Ornithorhynchus anatinus
Tachyglossus aculeatus
Didelphis virginiana
Didelphis marsupialis
Philander opossum
Thylacinus cynocephalus
Dasyurus viverrinus
Dasyurus hallucatus
Dasyurus maculatus
Antechinus stuartii
Antechinus swainsonii
Parantechinus apicalis
Phascogale tapoatafa
Phascolosorex dorsalis
Planigale maculata
Pseudantechinus macdonnellensis
Sminthopsis crassicaudata
Sminthopsis macroura
Sarcophilus harrisii
Potorous tridactylus
Notamacropus agilis
Osphranter antilopinus
Notamacropus eugenii
Macropus fuliginosus
Macropus giganteus
Notamacropus parryi
Osphranter robustus
Osphranter rufus
Macropus sp.
Osphranter bernardus
Petrogale xanthopus
Thylogale billardierii
Thylogale stigmatica
Wallabia bicolor
Pseudocheirus peregrinus
Trichosurus vulpecula
Perameles nasuta
Tamandua mexicana
Bradypus tridactylus
Bradypus variegatus
Choloepus hoffmanni
Dasypus novemcinctus
Erinaceus europaeus
Atelerix albiventris
Echinops telfairi
Talpa europaea
Suncus murinus
Sorex cinereus acadicus
Sorex cinereus cinereus
Sorex cinereus miscix
Sorex haydeni
Sorex hoyi
Blarina brevicauda
Amblysomus hottentotus
Tupaia glis
Cynopterus sphinx
Pteropus alecto
Pteropus poliocephalus
Pteropus temminckii
Pteropus hypomelanus
Rousettus aegyptiacus
Rousettus leschenaultii
Macroderma gigas
Megaderma lyra
Megaderma spasma
Artibeus jamaicensis
Macrotus californicus
Brachyphylla cavernarum
Phyllostomus hastatus
Tonatia bidens
Desmodus rotundus
Miniopterus schreibersii
Myotis velifer
Tadarida brasiliensis
Antrozous pallidus
Lemur catta
Lepilemur mustelinus
Varecia variegata
Cheirogaleus medius
Otolemur crassicaudatus
Galago sp.
Galago senegalensis
Loris tardigradus
Nycticebus coucang
Perodicticus potto
Perodicticus potto edwarsi
Cephalopachus bancanus
Mico argentatus
Callithrix jacchus
Callithrix sp.
Leontocebus fuscicollis
Saguinus mystax
Leontocebus nigricollis
Saguinus oedipus
Saguinus imperator
Cebuella pygmaea
Callimico goeldii
Alouatta caraya
Alouatta seniculus
Aotus trivirgatus
Ateles belzebuth
Ateles fusciceps
Ateles geoffroyi
Ateles paniscus
Ateles sp.
Cebus albifrons
Sapajus apella
Cebus capucinus
Cebus sp.
Lagothrix lagotricha
Saimiri sciureus
Plecturocebus moloch
Chiropotes satanas
Cercocebus torquatus
Cercocebus atys
Cercocebus galeritus
Chlorocebus aethiops
Cercopithecus cephus
Cercopithecus hamlyni
Erythrocebus patas
Macaca arctoides
Macaca fascicularis
Macaca fuscata
Macaca fuscata fuscata
Macaca mulatta
Macaca nemestrina
Macaca sylvanus
Macaca radiata
Macaca sp.
Macaca assamensis
Macaca sinica
Macaca speciosa
Papio anubis
Papio cynocephalus
Papio hamadryas
Mandrillus sphinx
Papio hamadryas hamadryas
Theropithecus gelada
Mandrillus leucophaeus
Colobus polykomos
Cercopithecidae gen. sp.
Hylobates agilis
Hylobates lar
Hylobates sp.
Hylobates agilis unko
Nomascus siki
Hylobates klossii
Hylobates muelleri
Hylobates pileatus
Symphalangus syndactylus
Gorilla gorilla
Gorilla gorilla gorilla
Pan paniscus
Pan troglodytes
Pongo pygmaeus
Pongo abelii
Pongo pygmaeus pygmaeus
Pongo sp.
Homo sapiens
Canis lupus
Canis latrans
Canis lupus familiaris
Canis sp.
Cerdocyon thous
Lycaon pictus
Otocyon megalotis
Vulpes chama
Vulpes vulpes
Vulpes corsac
Vulpes macrotis
Vulpes velox
Helarctos malayanus
Melursus ursinus
Tremarctos ornatus
Ursus sp.
Ursus thibetanus
Ursus americanus
Ursus arctos
Ailuropoda melanoleuca
Ailurus fulgens
Nasua nasua
Nasua nasua rufa
Procyon lotor
Lutra lutra
Martes foina
Martes americana
Meles meles
Mellivora capensis
Mustela lutreola
Mustela putorius
Mustela putorius furo
Pteronura brasiliensis
Paguma larvata
Crocuta crocuta
Proteles cristata
Felis silvestris
Felis catus
Felis sp.
Panthera leo
Panthera onca
Panthera pardus
Panthera pardus orientalis
Panthera pardus saxicolor
Panthera tigris
Panthera tigris sumatrae
Puma concolor
Herpestes ichneumon
Zalophus californianus
Odobenus rosmarus
Odobenus rosmarus divergens
Halichoerus grypus
Leptonychotes weddellii
Mirounga leonina
Mirounga angustirostris
Pusa hispida
Pusa sibirica
Phoca vitulina
Inia geoffrensis
Delphinus delphis
Globicephala melas
Orcinus orca
Stenella attenuata
Stenella longirostris
Stenella coeruleoalba
Tursiops truncatus
Phocoena phocoena
Phocoenoides dalli
Phocoenoides dalli dalli
Delphinapterus leucas
Kogia sima
Physeter catodon
Mesoplodon carlhubbsi
Ziphius cavirostris
Eschrichtius robustus
Balaenoptera acutorostrata
Balaenoptera borealis
Balaenoptera edeni
Balaenoptera physalus
Balaenoptera musculus
Megaptera novaeangliae
Trichechus inunguis
Trichechus manatus
Elephantidae gen. sp.
Elephas maximus
Loxodonta africana
Equus zebra
Equus grevyi
Equus asinus
Equus hemionus
Equus caballus
Equus przewalskii
Tapirus terrestris
Tapirus indicus
Diceros bicornis
Ceratotherium simum
Rhinoceros unicornis
Procavia capensis
Procavia capensis habessinica
Orycteropus afer
Sus scrofa
Sus scrofa domesticus
Sus sp.
Pecari tajacu
Hippopotamus amphibius
Camelus bactrianus
Camelus dromedarius
Lama guanicoe
Vicugna vicugna
Lama glama
Tragulus napu
Tragulus javanicus
Alces alces
Alces alces alces
Capreolus capreolus
Cervus elaphus
Cervus canadensis canadensis
Cervus nippon
Cervus canadensis nelsoni
Cervus elaphus xanthopygus
Rangifer tarandus
Odocoileus hemionus
Odocoileus hemionus columbianus
Odocoileus virginianus
Odocoileus virginianus virginianus
Odocoileus hemionus crooki
Odocoileus hemionus hemionus
Odocoileus hemionus sitkensis
Odocoileus virginianus dakotensis
Odocoileus virginianus texanus
Hydropotes inermis
Muntiacus reevesi
Muntiacus vaginalis
Muntiacus muntjak
Antilocapra americana
Giraffa camelopardalis
Aepyceros melampus
Ammotragus lervia
Bison bison
Bison bonasus
Bos gaurus
Bos javanicus
Bos primigenius
Bos taurus
Bos indicus
Boselaphus tragocamelus
Capra aegagrus
Capra hircus
Connochaetes taurinus
Damaliscus lunatus
Damaliscus lunatus korrigum
Damaliscus pygargus
Ovis aries musimon
Ovis sp.
Ovis aries
Ovis dalli
Tragelaphus oryx
Tragelaphus strepsiceros
Tragelaphus imberbis
Oryx gazella
Kobus ellipsiprymnus
Capricornis crispus
Syncerus caffer
Manis javanica
Ochotona princeps
Lepus capensis
Lepus europaeus
Oryctolagus cuniculus
Sylvilagus floridanus
Marmota marmota
Marmota marmota marmota
Marmota monax
Spermophilus citellus
Urocitellus parryii
Sciurus aberti aberti
Sciurus aberti barberi
Sciurus aberti chuscensis
Sciurus aberti ferreus
Sciurus aberti kaibabensis
Sciurus aberti
Tamiasciurus hudsonicus
Thomomys townsendii
Thomomys bottae
Dipodomys californicus
Dipodomys heermanni
Dipodomys panamintinus
Dipodomys ordii
Pedetes capensis
Cricetulus griseus
Cricetulus longicaudatus
Cricetulus sp.
Cricetulus migratorius
Cricetus cricetus
Mesocricetus auratus
Mesocricetus brandti
Mesocricetus sp.
Peromyscus leucopus
Peromyscus maniculatus
Phodopus sungorus
Meriones unguiculatus
Microtus xanthognathus
Microtus chrotorrhinus
Microtus pennsylvanicus
Ondatra zibethicus
Acomys cahirinus
Akodon aerosus
Akodon boliviensis
Akodon juninensis
Akodon kofordi
Akodon mollis
Akodon lutescens puer
Akodon subfuscus
Akodon torques
Bolomys amoenus
Cricetomys gambianus
Akodon mimus
Mus caroli
Mus musculus
Mus musculus castaneus
Mus musculus domesticus
Mus pahari
Mus saxicola
Mus sp.
Mus spretus
Mus cervicolor
Mus cookii
Mus macedonicus
Mus platythrix
Mus setulosus
Mus spicilegus
Mus minutoides
Mus abbotti
Mastomys natalensis
Praomys daltoni
Rattus leucopus
Rattus norvegicus
Rattus rattus
Rattus sp.
Rattus fuscipes
Rattus sordidus
Rattus tunneyi
Rattus villosissimus
Conilurus penicillatus
Apodemus sylvaticus
Calomyscus sp.
Hystrix cristata
Hystrix africaeaustralis
Cavia porcellus
Cavia sp.
Cavia cutleri
Galea musteloides
Hydrochoerus hydrochaeris
Chinchilla chinchilla
Lagostomus maximus
Myocastor coypus
Octodon degus
Proechimys guairae
Ctenodactylus gundi
Thryonomys swinderianus
Bathyergus janetta
Bathyergus suillus
Cryptomys hottentotus
Georychus capensis
Heliophobius argenteocinereus
Heterocephalus glaber
Petromus typicus
Castor fiber
Gerbillus sp.
Lynx lynx
Micromys minutus
Smilodon fatalis
Taphozous georgianus
Cratogeomys castanops castanops
Cratogeomys castanops tamaulipensis
Cratogeomys fumosus
Cratogeomys goldmani goldmani
Cratogeomys gymnurus
Cratogeomys merriami
Cratogeomys tylorhinus
Eulemur coronatus
Eulemur fulvus
Hapalemur griseus
Monodelphis domestica
Pappogeomys bulleri
Nanger granti
Bubalus depressicornis
Cervus sp.
Balaena mysticetus
Caperea marginata
Eubalaena glacialis
Cephalorhynchus eutropia
Lagenorhynchus albirostris
Lagenorhynchus obscurus
Lissodelphis peronii
Phocoena spinipinnis
Kogia breviceps
Mesoplodon europaeus
Mesoplodon peruvianus
Eumops glaucinus
Eumops perotis
Molossus molossus
Mormopterus kalinowskii
Nyctinomops aurispinosus
Nyctinomops laticaudatus
Promops centralis
Tomopeas ravus
Artibeus lituratus
Glossophaga soricina
Anoura caudifer
Centurio senex
Chiroderma salvini
Chiroderma trinitatum
Artibeus hartii
Platyrrhinus helleri
Sturnira lilium
Sturnira tildae
Uroderma bilobatum
Idionycteris phyllotis
Lasionycteris noctivagans
Myotis leibii
Nycticeius humeralis
Perimyotis subflavus
Corynorhinus rafinesquii
Choloepus didactylus
Saimiri boliviensis
Eulemur fulvus mayottensis
Mus booduga
Geomys bursarius
Geomys knoxjonesi
Geomys knoxjonesi x Geomys bursarius major
Elephantulus edwardii
Bos sp.
Panthera uncia
Martes martes
Potos flavus
Ursus maritimus
Stenella plagiodon
Macroglossus minimus
Eptesicus fuscus
Chaetophractus villosus
Macroscelides proboscideus
Arctocephalus forsteri
Hydrurga leptonyx
Neomonachus schauinslandi
Nomascus concolor
Dolichotis patagonum
Microtus agrestis
Abrothrix longipilis
Akodon azarae
Akodon cursor
Abrothrix olivaceus
Akodon orophilus
Akodon siberiae
Akodon toba
Akodon urichi
Auliscomys pictus
Calomys lepidus
Calomys sorellus
Paynomys macronyx
Geoxus valdivianus
Irenomys tarsalis
Lenoxus apicalis
Nectomys squamipes
Notiomys edwardsii
Oxymycterus delator
Oxymycterus hiska
Oxymycterus paramensis
Rhipidomys leucodactylus
Thomasomys aureus
Dugong dugon
Vombatus ursinus
Bos frontalis
Bos grunniens
Bos indicus x Bos taurus
Ovis ammon
Ovis aries platyura
Axis axis
Dama dama
Tayassu pecari
Camelus sp.
Vicugna pacos
Vulpes sp.
Conepatus chinga
Conepatus leuconotus
Conepatus mesoleucus
Meles sp.
Mephitis macroura
Mephitis mephitis
Mustela sp.
Spilogale gracilis
Spilogale putorius
Taxidea taxus
Tremarctos sp.
Balaenoptera sp.
Dasypus sp.
Atelerix algirus
Sylvilagus audubonii
Tapirus pinchaque
Tapirus sp.
Arctocephalus galapagoensis
Saguinus midas
Leontopithecus rosalia
Alouatta palliata
Alouatta belzebul
Aotus azarai
Cheracebus torquatus
Brachyteles arachnoides
Cacajao calvus
Pithecia irrorata
Propithecus tattersalli
Eulemur macaco
Eulemur macaco macaco
Microcebus murinus
Galago moholi
Otolemur garnettii
Tarsius sp.
Chinchilla sp.
Dactylomys boliviensis
Dactylomys dactylinus
Echimys chrysurus
Makalata didelphoides
Isothrix bistriata
Isothrix pagurus
Mesomys hispidus
Mesomys sp.
Mesomys stimulax
Necromys lasiurus
Nannospalax ehrenbergi
Nannospalax leucodon
Sciurus carolinensis
Lasiorhinus krefftii
Lasiorhinus latifrons
Setonix brachyurus
Setonix sp.
Didelphis sp.
Daubentonia madagascariensis
Geomys bursarius major
Geomys breviceps
Geomys breviceps breviceps
Geomys breviceps sagittalis
Canis simensis
Acinonyx jubatus
Leopardus pardalis
Dasycercus cristicauda
Dasyuroides byrnei
Dasyurus albopunctatus
Dasyurus spartacus
Myoictis melas
Neophascogale lorentzii
Ningaui ridei
Ningaui yvonnae
Planigale gilesi
Planigale tenuirostris
Pseudantechinus ningbing
Pseudantechinus woolleyae
Sminthopsis murina
Zaglossus bruijni
Chiroderma doriae
Chiroderma improvisum
Chiroderma villosum
Colobus guereza
Ctenomys porteousi
Balaenoptera bonaerensis
Rhyncholestes raphanurus
Dasykaluta rosamondae
Dromiciops gliroides
Colobus sp.
Propithecus verreauxi
Indri indri
Eulemur mongoz
Eulemur rubriventer
Galago alleni
Sylvilagus sp.
Atherurus macrourus
Proechimys longicaudatus
Ctenomys boliviensis
Chinchilla lanigera
Capromys pilorides
Erethizon dorsatum
Dasyprocta punctata
Praomys erythroleucus
Rattus exulans
Stochomys longicaudatus
Hylomyscus alleni
Cratogeomys goldmani
Sciurus niger
Otospermophilus beecheyi
Capricornis sumatraensis
Capricornis swinhoei
Rupicapra rupicapra
Naemorhedus goral
Oreamnos americanus
Saiga tatarica
Nyctereutes procyonoides
Enhydra lutris
Callorhinus ursinus
Eumetopias jubatus
Phocarctos hookeri
Phocoena dioptrica
Neophocaena phocaenoides
Planigale maculata sinualis
Planigale sp.
Planigale ingrami
Planigale ingrami ingrami
Planigale novaeguineae
Petaurus breviceps
Mus musculus bactrianus
Osphranter robustus robustus
Mastomys coucha
Geomys personatus
Thomomys talpoides
Orthogeomys cavator
Orthogeomys cherriei
Orthogeomys heterodus
Orthogeomys hispidus
Orthogeomys underwoodi
Zygogeomys trichopus
Rattus tanezumi
Allactodipus bobrinskii
Eremodipus lichtensteini
Cercopithecus ascanius
Cercopithecus diana
Cercopithecus mitis
Cercopithecus mona
Cercopithecus neglectus
Cercopithecus nictitans
Papio ursinus
Miopithecus talapoin
Trachypithecus auratus pyrrhus
Ateles paniscus x Ateles fusciceps
Myodes rufocanus bedfordiae
Mus musculus x Rattus norvegicus
Mustela itatsi
Mustela nivalis
Mustela sibirica
Cricetinae gen. sp.
Martes melampus
Martes zibellina
Mustela erminea
Melomys burtoni
Melomys cervinipes
Uromys hadrourus
Uromys caudimaculatus
Crocidura russula
Sorex cinereus
Pan troglodytes schweinfurthii
Pan troglodytes troglodytes
Pan troglodytes verus
Oligoryzomys andinus
Oligoryzomys chacoensis
Oligoryzomys nigripes
Oligoryzomys vegetus
Oligoryzomys sp.
Oryzomys palustris
Cerradomys subflavus
Microryzomys minutus
Neacomys sp.
Prionailurus bengalensis
Prionailurus iriomotensis
Suricata suricatta
Balaenopteridae gen. sp.
Cephalorhynchus hectori
Damaliscus pygargus dorcas
Damaliscus pygargus phillipsi
Naemorhedus caudatus
Ovis canadensis
Ovibos moschatus
Ovibos moschatus moschatus
Hemitragus jemlahicus
Budorcas taxicolor
Budorcas taxicolor bedfordi
Budorcas taxicolor taxicolor
Hippotragus leucophaeus
Hippotragus equinus
Hippotragus equinus cottoni
Hippotragus equinus langheldi
Hippotragus niger
Arctocephalus gazella
Arctocephalus pusillus
Arctocephalus pusillus pusillus
Arctocephalus pusillus doriferus
Arctocephalus tropicalis
Aotus nancymaae
Cebus kaapori
Cebus olivaceus
Erinaceus concolor
Tupaia belangeri
Mammuthus primigenius
Meriones shawi
